recordID,Resource Assignment,Edit_ResourceDetails,R1,R2,R3,R4,Assignments_T1,Assignments_T2,Assignments_T3,ImageFORMULA,Shared_RollUp_Rotation 1,Shared_RollUp_Rotation 2,Shared_RollUp_Rotation 3,Shared_RollUp_Rotation 4,Resource_Key,Sort_ID,Grade_Filter,Resource_Information_Text,Scope,Link 1 url,Link 2 url,Link 1 text,Link 2 text,Edit_ResourceAssignmentsURL(R1),Edit_ResourceAssignmentsURL(R2),Edit_ResourceAssignmentsURL(R3),Edit_ResourceAssignmentsURL(R4)
rec1sFNYcsl1rSFEX,001.001.000*Ourselves: Book 1->Ethics: Grades 7-9,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recLHdhKMfjC9IAKG,R1,,,,Ourselves: Book 1 (p.136-162),Ourselves: Book 1 (p.163-186),Ourselves: Book 1 (p.187-210),,,"Ethics: Part 1
Ethics: Part 2
Ethics: Part 3","Ethics: Part 1
Ethics: Part 2
Ethics: Part 3",,001.001.000,005.007.001.004.001.000,"G7, G7, G8, G8, G9,","Ourselves: Book 1 by Charlotte Mason
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: Mason emphasized that children are persons; this is the volume in which she defines that term. What characteristics do we, as Image-Bearers, have in common? What kinds of pitfalls should we anticipate? These are some of the profound questions Mason deals with in this, her only volume written directly to students. 

➜ May sub any edition.","Term 1
Term 2
Term 3",https://www.livingbookpress.com/product/ourselves/?lbp=6156,https://www.amblesideonline.org/CM/toc.html#4,Option 1,Free,,,,
rec0fMOkPYD9HUvD5,001.001.000*How Canadians Govern Themselves (PDF)->Canadian Government: Grade 7,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=receLBgn770HyKFdR,R1,R2,,,How Canadians Govern Themselves (PDF),How Canadians Govern Themselves (PDF),How Canadians Govern Themselves (PDF),,"Canadian Government: Grade 7
Canadian Gov./ Economics: Grade 8",,,,001.001.000,005.007.002.002.001.000,"G7,","How Canadians Govern Themselves (PDF) ✓PRINT

➜ RATIONALE: Explore Canada’s parliamentary system, from the decisions made by the Fathers of Confederation to the daily work of parliamentarians in the Senate and House of Commons. Useful information on Canada’s Constitution, the judicial system, and provincial and municipal powers is gathered together in this one reference book.","Term 1
Term 2
Term 3",https://publications.gc.ca/site/archivee-archived.html?url=https://publications.gc.ca/collections/collection_2021/bdp-lop/X9-11-2020-eng.pdf,,PDF,,,https://airtable.com/app1aju9e3YhfQTXd/pagBOdeisXOKzQZJq/recV9dRJWGhas2vG6?home=pag5Pf79xsyOIdvDI,,
recbP0c19Q1xkTmQ4,001.003.000*Building the Canadian Nation (1953 or 1958 edition)->Canadian Government: Grade 7,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec0SYPOXgpJZbDqY,,,R3,,Building the Canadian Nation (1953 or 1958 edition) (Full Term - p.501-539),,,,,,,,001.003.000,005.007.002.002.001.000,"G7,","Building the Canadian Nation (1953 or 1958 edition) by George Brown
ISBN/ASIN B002O1HIH6 
Alternate Formats: Ebook

➜ RATIONALE: Building the Canadian Nation gives students a historic background for our civil liberties and roots our parliamentary process in its British roots.",Term 1,https://archive.org/details/buildingcanadian0000unse_t4t5/mode/2up,,Free,,,,https://airtable.com/app1aju9e3YhfQTXd/pagBCdEDGiwOR0U36/recLODggpyhEYe59M?home=pag8nmiUVfXJRZFLW,
rec2J0T6aUCjka3rm,001.003.000*Parliament: Canada's Democracy and How It Works->Canadian Government: Grade 7,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recdp05CJi0u3unPy,,,R3,,Parliament: Canada's Democracy and How It Works (Full Term - p.3-27),Parliament: Canada's Democracy and How It Works (Full Term - p.26-62),Parliament: Canada's Democracy and How It Works (Full Term - p.63-104),,,,,,001.003.000,005.007.002.002.001.000,"G7,","Parliament: Canada's Democracy and How It Works by Maureen McTeer
ISBN/ASIN 978-0394224626 

➜ RATIONALE: McTeer provides a friendly insider's view of the life of Parliament. She guides students through the physical spaces, the positions and parties in Parliament, and takes students through the electoral process. Throughout the book she leans on her own experience as a candidate and wife of a prime minister.","Term 1
Term 2
Term 3",https://a.co/d/f03B5ld,,Option 1,,,,https://airtable.com/app1aju9e3YhfQTXd/pagBCdEDGiwOR0U36/recLODggpyhEYe59M?home=pag8nmiUVfXJRZFLW,
recudLnW7c6PKzodU,001.004.000*Discovering Canada's Government->Canadian Government: Grade 7,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recVIAmrIQCYurVsn,,,,R4,Discovering Canada's Government (Full Term),Discovering Canada's Government (Full Term),Discovering Canada's Government (Full Term),,,,,"Canadian Government: Grade 7
Canadian Gov./ Economics: Grade 8",001.004.000,005.007.002.002.001.000,"G7,","Discovering Canada's Government by Daniel Francis
ISBN/ASIN 9780195416299 

➜ RATIONALE: This book explains the electoral process, the different aspects of parliamentary government, the Canadian legal system, and the concept of citizenship. ","Term 1
Term 2
Term 3",https://donnaward.ca/product/discovering-canadas-government/,,Option 1,,,,,
rec7TLS5WcCnvuZHi,001.001.000*Roots of American Democracy (Reading PDF)->American Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rechwndWj2VrJN5XO,R1,,,,Roots of American Democracy (Reading PDF),Roots of American Democracy (Reading PDF),,,"American Gov./ Economics: Grade 8
Econ/ Civics: Grade 10",,,,001.001.000,005.008.001.002.001.000,"G8,","Roots of American Democracy (Reading PDF) ✓SAVE ✓PRINT

➜ RATIONALE: This year's study explores the diverse origins of American democracy, from the Normandy invasion of England in 1066 A.D. to the representative forms of government developed by American Indian tribes before European contact. ","Term 1
Term 2",,,Included in Lessons,,,,,
recWdEui9rTl1J7az,001.004.000*Miles to Go For Freedom: Segregation and Civil Rights in the Jim Crow Years->American Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recGwJVYz513wyR88,,,,R4,Miles to Go For Freedom: Segregation and Civil Rights in the Jim Crow Years (Full Term),Miles to Go For Freedom: Segregation and Civil Rights in the Jim Crow Years (Partial Term),,,,,,,001.004.000,005.008.001.002.001.000,"G8,","Miles to Go For Freedom: Segregation and Civil Rights in the Jim Crow Years by Linda Osborne
ISBN/ASIN 978-1419700200 
Alternate Formats: Ebook

➜ RATIONALE: Through first-person accounts and primary sources, this book gives an account of segregation
 and civil rights through a discussion of the different laws that were passed between 1890-1954. ","Term 1
Term 2 (Partial Term)",https://smile.amazon.com/Miles-Go-Freedom-Segregation-Rights/dp/1419700200/,https://bookshop.org/a/90084/9781419700200,Option 1,Option 2,,,,
recWP4Vq6Xgl0MHhS,002.004.000*Lunch Counter Sit-Ins: How Photographs Helped Foster Peaceful Civil Rights Protests->American Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec52H4FFO0WmJvI4,,,,R4,,Lunch Counter Sit-Ins: How Photographs Helped Foster Peaceful Civil Rights Protests (Partial Term),,,,,,,002.004.000,005.008.001.002.002.000,"G8,","Lunch Counter Sit-Ins: How Photographs Helped Foster Peaceful Civil Rights Protests by Danielle Smith-Llera
ISBN/ASIN 978-0756558802 
Alternate Formats: Ebook

➜ RATIONALE: Photographic depiction of the civil rights movement and the organized peaceful demonstrations protesting segregation. ",Term 2 (Partial Term),https://smile.amazon.com/Lunch-Counter-Sit-Ins-Photographs-Peaceful/dp/0756558808/,https://bookshop.org/a/90084/9780756558789,Option 1,Option 2,,,,
recsi5oOI7NQiyVt4,002.004.000*TV Shapes Presidential Politics in the Kennedy-Nixon Debates->American Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec1GOgkLFPsEmGbD,,,,R4,,TV Shapes Presidential Politics in the Kennedy-Nixon Debates (Partial Term),,,,,,,002.004.000,005.008.001.002.002.000,"G8,","TV Shapes Presidential Politics in the Kennedy-Nixon Debates by Michael Burgan
ISBN/ASIN 978-0756558277 

➜ RATIONALE: Photographic depiction of the first debates ever held between two presidential candidates and the first to be televised. Readers will learn just how much effect seeing the debates had on the results of the election and how they changed presidential campaigning forevermore. ",Term 2 (Partial Term),https://smile.amazon.com/Shapes-Presidential-Politics-Kennedy-Nixon-Debates/dp/0756558271/,https://bookshop.org/a/90084/9780756558277,Option 1,Option 2,,,,
recqv1qwBRlUS6gIh,003.001.000*Dollars and Sense: A Kid's Guide to Using - Not Losing - Money->American Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec7v5wfeY2lC55Vq,R1,R2,R3,,,,Dollars and Sense: A Kid's Guide to Using - Not Losing - Money (Full Term),,"American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8",003.001.000,005.008.001.002.003.000,"G8,","Dollars and Sense: A Kid's Guide to Using - Not Losing - Money by Elaine Scott
ISBN/ASIN 978-1580893961 
Alternate Formats: Ebook

➜ RATIONALE: In this introduction to Economics, students will learn about the history of money, the banking system, and personal finance. ",Term 3,https://smile.amazon.com/Dollars-Sense-Guide-Using-Not-Losing-Money/dp/1580893961/,https://bookshop.org/a/90084/9781580893961,Option 1,Option 2,,https://airtable.com/app1aju9e3YhfQTXd/pagBOdeisXOKzQZJq/recIeWzeM7zqTSN6k?home=pag5Pf79xsyOIdvDI,https://airtable.com/app1aju9e3YhfQTXd/pagBCdEDGiwOR0U36/rec46I88QSFQIJwng?home=pag8nmiUVfXJRZFLW,
recs71briU953bIWP,003.004.000*Dollars and Sense: A Kid's Guide to Using - Not Losing - Money->American Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec7v5wfeY2lC55Vq,,,,R4,,,Dollars and Sense: A Kid's Guide to Using - Not Losing - Money (Full Term),,"American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8",003.004.000,005.008.001.002.003.000,"G8,","Dollars and Sense: A Kid's Guide to Using - Not Losing - Money by Elaine Scott
ISBN/ASIN 978-1580893961 
Alternate Formats: Ebook

➜ RATIONALE: In this introduction to Economics, students will learn about the history of money, the banking system, and personal finance. ",Term 3,https://smile.amazon.com/Dollars-Sense-Guide-Using-Not-Losing-Money/dp/1580893961/,https://bookshop.org/a/90084/9781580893961,Option 1,Option 2,,,,
rec72ZacSswDjvI7B,001.002.000*Ourselves: Book 1->Ethics: Part 2,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recLHdhKMfjC9IAKG,,R2,R3,,Ourselves: Book 1 (Full Term - p.73-94),Ourselves: Book 1 (Full Term - p.95-111),Ourselves: Book 1 (Full Term - p.112-135),,,"Ethics: Part 1
Ethics: Part 2
Ethics: Part 3","Ethics: Part 1
Ethics: Part 2
Ethics: Part 3",,001.002.000,005.008.001.003.001.000,"G8, G8,","Ourselves: Book 1 by Charlotte Mason
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: Mason emphasized that children are persons; this is the volume in which she defines that term. What characteristics do we, as Image-Bearers, have in common? What kinds of pitfalls should we anticipate? These are some of the profound questions Mason deals with in this, her only volume written directly to students. 

➜ May sub any edition.","Term 1
Term 2
Term 3",https://www.livingbookpress.com/product/ourselves/?lbp=6156,https://www.amblesideonline.org/CM/toc.html#4,Option 1,Free,,https://airtable.com/app1aju9e3YhfQTXd/pagBOdeisXOKzQZJq/recIfXX4G7yxFvKyY?home=pag5Pf79xsyOIdvDI,https://airtable.com/app1aju9e3YhfQTXd/pagBCdEDGiwOR0U36/recUtBqECZE6X45Nt?home=pag8nmiUVfXJRZFLW,
recjQyvvHwnRpWcf1,001.001.000*How Canadians Govern Themselves (PDF)->Canadian Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=receLBgn770HyKFdR,R1,,,,How Canadians Govern Themselves (PDF),How Canadians Govern Themselves (PDF),,,"Canadian Government: Grade 7
Canadian Gov./ Economics: Grade 8",,,,001.001.000,005.008.002.002.001.000,"G8,","How Canadians Govern Themselves (PDF) ✓PRINT

➜ RATIONALE: Explore Canada’s parliamentary system, from the decisions made by the Fathers of Confederation to the daily work of parliamentarians in the Senate and House of Commons. Useful information on Canada’s Constitution, the judicial system, and provincial and municipal powers is gathered together in this one reference book.","Term 1
Term 2",https://publications.gc.ca/site/archivee-archived.html?url=https://publications.gc.ca/collections/collection_2021/bdp-lop/X9-11-2020-eng.pdf,,PDF,,,,,
recbzVk8OBMJvo4BI,001.004.000*Discovering Canada's Government->Canadian Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recVIAmrIQCYurVsn,,,,R4,Discovering Canada's Government (Full Term),Discovering Canada's Government (Full Term),,,,,,"Canadian Government: Grade 7
Canadian Gov./ Economics: Grade 8",001.004.000,005.008.002.002.001.000,"G8,","Discovering Canada's Government by Daniel Francis
ISBN/ASIN 9780195416299 

➜ RATIONALE: This book explains the electoral process, the different aspects of parliamentary government, the Canadian legal system, and the concept of citizenship. ","Term 1
Term 2",https://donnaward.ca/product/discovering-canadas-government/,,Option 1,,,,,
recJW7gZtiZ7vf5DU,003.001.000*Dollars and Sense: A Kid's Guide to Using - Not Losing - Money->Canadian Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec7v5wfeY2lC55Vq,R1,R2,R3,,,,Dollars and Sense: A Kid's Guide to Using - Not Losing - Money (Full Term),,"American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8",003.001.000,005.008.002.002.003.000,"G8,","Dollars and Sense: A Kid's Guide to Using - Not Losing - Money by Elaine Scott
ISBN/ASIN 978-1580893961 
Alternate Formats: Ebook

➜ RATIONALE: In this introduction to Economics, students will learn about the history of money, the banking system, and personal finance. ",Term 3,https://smile.amazon.com/Dollars-Sense-Guide-Using-Not-Losing-Money/dp/1580893961/,https://bookshop.org/a/90084/9781580893961,Option 1,Option 2,,https://airtable.com/app1aju9e3YhfQTXd/pagBOdeisXOKzQZJq/recSwks7HFH8L44wv?home=pag5Pf79xsyOIdvDI,https://airtable.com/app1aju9e3YhfQTXd/pagBCdEDGiwOR0U36/rec8rP4OZOxbQrWlK?home=pag8nmiUVfXJRZFLW,
recohyoO8f95qn9en,003.004.000*Dollars and Sense: A Kid's Guide to Using - Not Losing - Money->Canadian Gov./ Economics: Grade 8,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec7v5wfeY2lC55Vq,,,,R4,,,Dollars and Sense: A Kid's Guide to Using - Not Losing - Money (Full Term),,"American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8","American Gov./ Economics: Grade 8
Canadian Gov./ Economics: Grade 8",003.004.000,005.008.002.002.003.000,"G8,","Dollars and Sense: A Kid's Guide to Using - Not Losing - Money by Elaine Scott
ISBN/ASIN 978-1580893961 
Alternate Formats: Ebook

➜ RATIONALE: In this introduction to Economics, students will learn about the history of money, the banking system, and personal finance. ",Term 3,https://smile.amazon.com/Dollars-Sense-Guide-Using-Not-Losing-Money/dp/1580893961/,https://bookshop.org/a/90084/9781580893961,Option 1,Option 2,,,,
